,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment,VIX,TNX,SPY,QQQ,XLK
2,2020-01-06,251.41,255.96,251.29,255.75,1168283.0,INTU,2,0.011584268294484446,257.1466875652055,252.89331243479444,54.12156536219833,73.21131447587555,100.0,255.01999999999998,255.01999999999998,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,196.67,199.21,195.98,198.59,1743756.0,ISRG,2,-0.012331948866147968,199.8088366002733,197.16449673306005,39.011077219457405,24.778761061945453,45.075560187597254,198.48666666666668,198.48666666666668,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,46.5,46.58,46.04,46.3,7135397.0,MDLZ,2,-0.004457718736517791,46.523444403322635,46.223222263344034,0.0,-69.03553299492533,100.0,46.373333333333335,46.373333333333335,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,205.38,211.14,204.93,210.96,19695129.0,META,2,0.0894922014166184,212.74827496849485,204.70505836483852,78.57622565480199,100.0,100.0,208.7266666666667,208.7266666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,148.79,150.71,148.25,150.64,24709110.0,MSFT,2,-0.04222291780723708,153.02035434302238,149.00631232364427,17.514970059879687,-86.71875000000051,100.0,151.01333333333332,151.01333333333332,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,32.31,33.64,32.12,33.58,59548220.0,NFLX,2,0.019550604001793204,34.04739661118334,32.05260338881667,72.42136064374566,99.99999999999847,100.0,33.050000000000004,33.050000000000004,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,5.782,5.905,5.756,5.9,288901160.0,NVDA,2,-0.0019691790060294423,6.014939223386751,5.815727443279917,21.22241086587458,-68.24742268041341,100.0,5.915333333333334,5.915333333333334,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,111.7,112.54,111.62,112.4,5006999.0,PEP,2,0.008760228420015892,112.60133128833876,111.73200204499459,73.54618015963584,-34.69387755102294,100.0,112.16666666666667,112.16666666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,107.0,109.64,106.87,109.59,7510368.0,PYPL,2,-0.012879801765848242,111.34852888132593,107.27147111867407,42.41877256317696,-52.02398800599708,100.0,109.31,109.31,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,74.77,75.33,74.45,75.29,9697739.0,QCOM,2,-0.05540676359075292,78.05911613448087,74.0875505321858,0.0,-77.94871794871871,100.0,76.07333333333334,76.07333333333334,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,76.62,76.88,76.06,76.64,6251900.0,SBUX,2,-0.03178056745322522,78.26068421038167,76.13264912295168,0.0,-99.99999999999845,100.0,77.19666666666667,77.19666666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,75.16,75.85,75.0,75.63,3644508.0,TMUS,2,0.0019233811807168877,75.96499717513312,74.98166949153354,52.61060183339984,51.71102661596803,0.19630938358869376,75.47333333333333,75.47333333333333,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,29.36,30.1,29.33,30.1,155437575.0,TSLA,2,0.04197528447215504,30.865838921271877,28.007494412061458,100.0,62.06434316353916,100.0,29.436666666666667,29.436666666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,106.4,106.63,105.43,106.32,5177009.0,TXN,2,-0.06411376837243665,109.51047864506492,105.07618802160175,0.0,-99.9999999999993,100.0,107.29333333333334,107.29333333333334,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,217.73,224.35,216.91,224.03,1679482.0,VRTX,2,0.14558609173909076,226.79749334257323,214.17583999076012,80.97978851559367,100.00000000000001,33.0667865566182,220.48666666666668,220.48666666666668,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
3,2020-01-07,72.28,72.54,71.71,71.93,118227136.0,AAPL,3,-0.008780323258719136,72.72235140407177,71.43264859592823,35.44649430668839,79.72027972028316,57.458233890214615,72.0775,72.0775,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,334.15,334.79,332.305,333.39,2683049.0,ADBE,3,-0.007676230953393315,335.54657560726884,331.1234243927311,39.884953745035226,101.23989218328909,61.28568208954393,333.335,333.335,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,106.32,108.09,105.88,106.93,2468142.0,ADI,3,-0.027508349527948894,108.9819099121283,103.50309008787171,44.44914805799566,56.89116226200614,10.704259026477093,106.2425,106.2425,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,147.56,147.7,146.39,146.55,2190821.0,ADP,3,-0.06526889283742321,149.64861369236453,146.09138630763547,8.505604411183114,-123.52285395763616,100.0,147.87,147.87,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,197.61,198.18,196.19,196.56,1694865.0,AMGN,3,-0.04152270150856907,199.4260187344421,195.6539812655579,31.93624343416063,-54.01709401709283,85.9290780141823,197.54,197.54,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,95.23,95.69,94.6,95.34,87405900.0,AMZN,3,0.03358488830946271,96.20539610770898,93.35960389229102,58.95732988181368,132.90322580645076,100.0,94.7825,94.7825,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,27.07,27.18,26.81,26.84,20376800.0,AVGO,3,-0.026864238259243223,27.879068700875717,26.340931299124282,0.0,-49.63503649635064,44.61303296455456,27.11,27.11,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,2009.96,2034.94,2001.28,2030.25,375120.0,BKNG,3,-0.3294053820291083,2048.9981188138836,2003.3018811861166,44.28695383791141,20.382049172835956,10.036791096708637,2026.15,2026.15,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,34.62,35.21,34.59,35.15,29241542.0,CMCSA,3,-0.007208690528891282,35.53688364504337,34.61811635495663,41.44987428116205,-9.417596034696203,1.2862301161313634,35.0775,35.0775,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,266.18,266.52,264.32,266.21,2200602.0,COST,3,-0.005308429554133909,266.823672955924,266.046327044076,39.41530965508474,-70.60205580029415,100.0,266.435,266.435,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
3,2020-01-07,39.67,39.67,39.16,39.48,18774388.0,CSCO,3,-0.02342986951587278,40.4570225614927,39.08297743850729,13.371978130557963,-80.89591567852267,100.0,39.769999999999996,39.769999999999996,0.0,-0.004332160141813035,0.00883491580210305,-0.00281181670847086,-0.00013904391260899374,-0.00043195069140788966
