,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment
17,2020-01-28,37.9,38.45,37.21,37.79,180557055.0,TSLA,17,0.9596327807699296,40.352090389583196,28.012354054861248,76.42508147293847,97.09988744402148,55.08956130873646,34.18222222222222,34.18222222222222,0.0
17,2020-01-28,193.56,194.95,192.98,194.0,8013815.0,V,17,1.7691245986277977,202.32492044521396,176.57507955478602,68.19723529300364,55.69994922815994,24.081761533256568,189.45,189.45,0.0
17,2020-01-28,35.45,35.73,35.44,35.64,19033512.0,WMT,17,-0.05151251517158073,36.22320665365001,34.879015568572214,44.59351176158665,17.81993469133833,48.868768446470305,35.55111111111111,35.55111111111111,0.0
17,2020-01-28,48.93,48.99,48.57,48.58,21262783.0,XOM,17,-0.5744315461734786,54.36399687880335,48.60489201008555,15.32064438528721,-166.52431011826565,93.41436434972341,51.48444444444445,51.48444444444445,0.0
18,2020-01-29,78.22,79.04,77.48,78.19,226560964.0,AAPL,18,0.5133089121883501,78.98490989991168,71.1635111527199,67.22348131130597,129.9215386828682,31.976815615603794,75.0742105263158,75.0742105263158,0.0
18,2020-01-29,65.68,65.84,65.16,65.21,6372003.0,ABBV,18,-0.6265986323195847,71.39953729040884,65.07835744643326,28.627666293745165,-170.05078613035636,59.21554220837631,68.23894736842105,68.23894736842105,0.0
18,2020-01-29,47.84,48.07,46.1,47.51,114772903.0,AMD,18,0.11345585952243908,51.92321062474056,46.74468411210155,42.479278777259104,-123.75436554132736,29.854254021564024,49.33394736842106,49.33394736842106,0.0
18,2020-01-29,93.2,93.74,92.75,92.9,44838660.0,AMZN,18,-0.30068405060443126,95.94186932207685,91.89813067792315,42.971823774644804,-70.84877450354011,16.98973276118143,93.92,93.92,0.0
18,2020-01-29,27.55,27.94,27.23,27.26,25956610.0,AVGO,18,0.12232526460095627,27.914931377053453,25.544015991367605,50.162203944481924,101.71057088512,18.48188452231547,26.72947368421053,26.72947368421053,0.0
18,2020-01-29,28.6,28.7,28.3,28.33,40919104.0,BAC,18,-0.26806020366586125,30.900976075407236,28.232708135119076,26.60695199183732,-147.2542479394778,46.66732192860001,29.566842105263156,29.566842105263156,0.0
18,2020-01-29,122.05,122.2,120.34,120.44,2866732.0,CAT,18,-1.4835890584315905,135.1371768011675,120.52703372514827,23.104598896488113,-169.5635196309458,59.30120486870392,127.83210526315789,127.83210526315789,0.0
18,2020-01-29,284.04,285.05,282.69,282.87,1904848.0,COST,18,2.2506729244459507,290.7868211979318,261.7015998546998,73.20319711580953,80.849269091092,37.35595901438046,276.2442105263158,276.2442105263158,0.0
18,2020-01-29,39.88,39.89,39.02,39.12,15991386.0,CSCO,18,-0.019587103669287842,41.125603132668374,38.78808107785794,38.807900654553634,-82.27892042002895,24.007680461134786,39.956842105263156,39.956842105263156,0.0
18,2020-01-29,84.44,84.73,83.48,83.62,5436597.0,CVX,18,-0.9730200531490709,92.95317843055976,82.36576893786129,13.98407320109294,-119.27088303073896,64.59267925401222,87.65947368421052,87.65947368421052,0.0
18,2020-01-29,60.56,62.64,60.18,62.35,28376770.0,GE,18,0.13354708333195475,60.44169833716513,54.12882797862435,65.35640900848148,324.25529943547707,40.15892764502608,57.28526315789474,57.28526315789474,0.0
18,2020-01-29,72.34,72.67,71.74,72.33,23683080.0,GOOG,18,0.3853035413290371,75.01452086035358,67.38653177122536,66.54261474098516,49.080557112810425,27.045813194208733,71.20052631578947,71.20052631578947,0.0
18,2020-01-29,72.32,72.6,71.67,72.23,24239560.0,GOOGL,18,0.3636433259429026,74.87572495417265,67.4811171510905,65.64144294645192,47.89726047062953,26.77986503508871,71.17842105263158,71.17842105263158,0.0
18,2020-01-29,201.68,202.52,200.39,200.93,2913494.0,HD,18,1.6183357515717773,204.65873473098975,184.9002126374313,75.52556119004271,98.44219614191253,50.123416490434224,194.77947368421053,194.77947368421053,0.0
18,2020-01-29,125.56,127.03,125.3,126.48,7324544.0,JNJ,18,0.5796007318206762,126.93535487524683,120.20885565106896,73.21651373482763,130.30220269056738,8.417949257291543,123.5721052631579,123.5721052631579,0.0
18,2020-01-29,114.41,115.03,113.46,113.91,10548966.0,JPM,18,-0.5486742719292863,119.29428888652431,112.53202690294937,37.451037769670634,-100.46561679790099,27.809356227430705,115.91315789473684,115.91315789473684,0.0
18,2020-01-29,47.11,47.32,46.82,47.11,14611164.0,KO,18,0.2752332475757626,48.4657749958386,44.45843553047719,67.3485187611875,50.08885449360075,15.03338372369826,46.462105263157895,46.462105263157895,0.0
18,2020-01-29,129.59,131.1,129.09,129.97,3152406.0,LLY,18,0.5797830215667545,134.60621266505092,121.40326101915964,67.44911034320356,51.04072149357899,27.449511109403367,128.00473684210527,128.00473684210527,0.0
18,2020-01-29,312.32,313.71,306.3,309.73,4708426.0,MA,18,2.104310339838946,320.67094636361446,286.4016852153329,63.85974427009973,61.30829822842798,23.443336509677927,303.5363157894737,303.5363157894737,0.0
18,2020-01-29,219.73,222.47,216.77,221.51,34691874.0,META,18,0.5742657113546272,224.68962581470973,207.53879523792185,67.10955325427828,80.6005312045133,23.260846467621224,216.1142105263158,216.1142105263158,0.0
18,2020-01-29,158.99,159.85,156.95,159.18,38597746.0,MSFT,18,0.7758145454636178,160.56617417549128,148.63487845608765,63.23622335618938,111.01848043248295,25.618534203994443,154.60052631578947,154.60052631578947,0.0
18,2020-01-29,54.6,55.77,53.92,53.92,20503881.0,MU,18,-0.05764850179957648,58.59301928163931,52.46908598151858,46.93762469436185,-55.73466712089816,5.165627107571012,55.531052631578945,55.531052631578945,0.0
18,2020-01-29,34.9,34.94,33.86,34.32,78938630.0,NFLX,18,0.1987213530914289,35.31995400176776,32.289519682442766,55.36753878094086,75.67169847147039,11.521363125454,33.804736842105264,33.804736842105264,0.0
18,2020-01-29,6.157,6.193,6.071,6.111,274087680.0,NVDA,18,0.014908785534265334,6.35545272898805,5.8493893762751075,53.14877699805172,16.701968837076564,9.932089440052094,6.102421052631579,6.102421052631579,0.0
18,2020-01-29,49.4,49.55,48.85,48.87,7007425.0,ORCL,18,-0.14402128122792135,51.21571485518448,48.47691672376289,43.001593878260174,-85.8679052524045,18.28832471542874,49.846315789473685,49.846315789473685,0.0
